,position,title,snippet,highlighs,link,displayed_link
0,0,Crypto.com (@cryptocom) / X,"The best place to buy, sell, and pay with crypto #BTC #CRO #DeFi #FFTB.",['crypto'],https://twitter.com/cryptocom,https://twitter.com › cryptocom
1,1,Bloomberg Crypto,"Bloomberg Crypto is now on Telegram. As Sam Bankman-Fried's trial continues, join our channel for the latest news and analysis from the crypto universe ...","['Crypto', 'crypto']",https://twitter.com/crypto,https://twitter.com › crypto
2,2,Crypto Rover (@rovercrc) / X,Bitcoin Crypto YouTuber (120k SUBS) | Founder of @cryptoseacom.,['Crypto'],https://twitter.com/rovercrc,https://twitter.com › rovercrc
3,3,Coinbase,The most trusted crypto exchange. For support ➡️ @CoinbaseSupport.,['crypto'],https://twitter.com/coinbase,https://twitter.com › coinbase
4,4,Secrets (@SecretsOfCrypto) / X,1/ Below is a thread of infographics I've created on the most important lessons to learn about #crypto investing. These are the principles I used to make ...,['crypto'],https://twitter.com/SecretsOfCrypto,https://twitter.com › SecretsOfCrypto
5,5,Michaël van de Poppe (@CryptoMichNL) ...,"CEO & Founder MN Trading Consultancy || Macro-Economics, Value Based Investing & Trading || Crypto & Bitcoin Enthusiast || Portfolio Maximalist.",['Crypto'],https://twitter.com/CryptoMichNL,https://twitter.com › CryptoMichNL
6,6,Laura Shin (@laurashin) / X,"Crypto journalist Host @unchained_pod Author, The Cryptopians sign up for my https://t.co/mFlM1ZEUWW. Ads: sponsorships@unchainedcrypto.com.",['Crypto'],https://twitter.com/laurashin,https://twitter.com › laurashin
7,7,The Crypto Dog 📈 (@TheCryptoDog) / X,STEM PhD dropout / $crypto-trading dog   Started mining #bitcoin in 2011. Investor / market commentator. Health & wellness @trybetterbrand with ...,['crypto'],https://twitter.com/TheCryptoDog,https://twitter.com › TheCryptoDog
8,8,Crypto Casey (@cryptocasey) / X,Crypto Casey · @cryptocasey. ·. Mar 1. Crypto Investing Strategy 2024 (What to Look for When Buying Crypto ✓) Ultimate Beginners' Guide - https://youtu.,"['Crypto', 'Crypto', 'Crypto']",https://twitter.com/cryptocasey,https://twitter.com › cryptocasey
9,9,Ran Neuner (@cryptomanran) / X,"CNBC Crypto Trader , Founder Crypto Banter. Invest in protocols that will change the world-give them enough time to do their thing.","['Crypto', 'Crypto']",https://twitter.com/cryptomanran,https://twitter.com › cryptomanran
10,10,Lady of Crypto (@LadyofCrypto1) / ...,Crypto investor. Focus on undervalued alts. On a mission to onboard 1 million newbies into crypto and make them pros Always take profit! I don't DM!,"['Crypto', 'crypto']",https://twitter.com/LadyofCrypto1,https://twitter.com › LadyofCrypto1
11,11,Crypto Tony (@CryptoTony__) / X,Crypto .. 99% will lose all money invested. Check your own country laws before investing / trading. Tweets do not endorse buying Crypto or directed to UK ...,"['Crypto', 'Crypto']",https://twitter.com/CryptoTony__,https://twitter.com › CryptoTony__
12,12,Lark Davis (@TheCryptoLark) / X,"Entrepreneur & Bitcoin investor. Tweets not financial advice. Founder of Wealth Mastery, the best newsletter in crypto.",['crypto'],https://twitter.com/TheCryptoLark,https://twitter.com › TheCryptoLark
13,13,CrediBULL Crypto (@CredibleCrypto) / X,"Crypto trading, analysis, and education. *Tweets are my opinion, not financial advice*",['Crypto'],https://twitter.com/CredibleCrypto,https://twitter.com › CredibleCrypto
14,14,il Capo Of Crypto (@CryptoCapo_) / X,"Crypto analyst, Swing Trader and Long-term Investor since Feb 2017 | Not financial advice | I will never DM you first. Free TG: https://t.co/LNV7sE4rjF.",['Crypto'],https://twitter.com/CryptoCapo_,https://twitter.com › CryptoCapo_
15,15,Cred (@CryptoCred) / X,"Dec 31, 2022. [Pinned] The list of trading resources has become too long to summarise in one tweet. If you're interested in technical trading and crypto futures ...",['crypto'],https://twitter.com/CryptoCred,https://twitter.com › CryptoCred
16,16,Forbes Crypto (@ForbesCrypto) / ...,"Forbes Crypto's posts ... and the bitcoin nonprofit founders it supports on why bitcoin is a human rights issue. ... There are more than 13,000 cryptocurrencies ...","[""Crypto's""]",https://twitter.com/ForbesCrypto,https://twitter.com › ForbesCrypto
17,17,Crypto Coach 🐒📈💰 (@WisdomMatic) / X,Crypto Coach 's posts ... 1 $BNB less than $40 (0.0012 sats) Try to have at least 10-100 $BNB Thank me later. ... So many people are going to be sidelined in ...,['Crypto'],https://twitter.com/WisdomMatic,https://twitter.com › WisdomMatic
18,18,Eleanor Terrett (@EleanorTerrett) ...,FoxBusiness • Journalist • UK export 󠁧󠁢󠁥󠁮󠁧󠁿 • @JMU Alum • Crypto and cat pics • Views my own • Insta: ell_kate • THIS IS MY ONLY X ACCOUNT •,['Crypto'],https://twitter.com/EleanorTerrett,https://twitter.com › EleanorTerrett
19,19,Crypto Valley (@thecryptovalley) / X,"Official updates from the Crypto Valley Association. Building a world-class, international blockchain ecosystem from Switzerland.",['Crypto'],https://twitter.com/thecryptovalley,https://twitter.com › thecryptovalley
20,20,Crypto Tea (@CryptoTea_) / X,"The binance resolution is not bullish bitcoin and crypto are facing their toughest battle yet Anti Money Laundry, Terrorism Financing and KYC laws this is how ...",['crypto'],https://twitter.com/CryptoTea_,https://twitter.com › CryptoTea_
21,21,Kris | Crypto.com,"We're excited to share our latest regulatory achievement in one of the world's leading crypto hubs, #Singapore http://Crypto.com has been granted the ...","['crypto', 'Crypto']",https://twitter.com/kris,https://twitter.com › kris
22,22,Kraken Exchange (@krakenfx) / X,"Kraken is your bridge to the world of crypto. Spot, Futures, Margin, NFTs, Staking & OTC Buy, sell, trade, earn, explore and learn Need help?",['crypto'],https://twitter.com/krakenfx,https://twitter.com › krakenfx
23,23,Crypto Finance Group (@CryptoFinanceAG) ...,"Crypto Finance Group helps financial institutions to enter the digital asset space with funds, trading, & infrastructure.",['Crypto'],https://twitter.com/CryptoFinanceAG,https://twitter.com › CryptoFinanceAG
24,24,Crypto Banter (@crypto_banter) / X,"World's no.1 crypto channel consistently bringing you credible content and of course, banter!",['crypto'],https://twitter.com/crypto_banter,https://twitter.com › crypto_banter
25,25,Crypto Nova (@CryptoGirlNova) / X,Crypto analyst since 2016 | Former teacher turned trader | Weekly trading guides | Free E-book |,['Crypto'],https://twitter.com/CryptoGirlNova,https://twitter.com › CryptoGirlNova
